City,Magnitude,MMI,CDI,Latitude,Longitude,Time,Year,Month,Day
"Alameda County, California",5.8,,,37.6,-121.9,02:01:00,1864,05,21
"Alameda County, California",4.7,,,37.6,-122.0,06:40:00,1864,07,22
"Near Santa Rosa, California",4.7,,,38.4,-122.6,14:30:00,1865,03,08
"South of San Jose, California",5.9,,,37.1,-121.8,11:21:00,1865,05,24
"South of San Jose, California",6.5,,,37.2,-121.9,20:46:00,1865,10,08
"Near Gilroy, California",5.8,,,37.0,-121.7,20:12:00,1866,03,26
"Southwest of Stockton, California",6.0,,,37.7,-121.5,06:30:00,1866,07,15
"Near Virginia City, Nevada",6.0,,,39.3,-119.7,05:10:00,1868,05,30
"Near Markleeville, California",5.6,,,38.6,-119.7,16:55:00,1868,09,17
"The 1868 Hayward Fault Earthquake, California",6.8,,,37.7,-122.1,15:53:00,1868,10,21
"Near Carson City, Nevada",6.2,,,39.1,-119.8,10:00:00,1869,12,27
"Northwest of Virginia City, Nevada",6.4,,,39.4,-119.7,01:55:00,1869,12,27
"North of Santa Cruz, California",5.9,,,37.1,-122.0,20:12:00,1870,02,17
"Near Berkeley, California",5.8,,,37.9,-122.3,19:48:00,1870,04,02
"Owens Valley, California",5.5,,,36.4,-118.0,21:06:00,1871,07,05
"Owens Valley, California",6.8,,,36.9,-118.2,14:06:00,1872,03,26
"The 1872 Owens Valley Earthquake, California",7.4,,,36.7,-118.1,10:30:00,1872,03,26
"Owens Valley, California",6.3,,,37.0,-118.2,12:15:00,1872,04,03
"Near Round Valley, California",6.8,,,37.5,-118.5,19:00:00,1872,04,11
"Imperial Valley area, California",5.8,,,33.0,-115.0,01:00:00,1872,05,03
"South of Austin, Nevada",6.0,,,39.0,-117.0,00:00:00,1872,11,12
"Lake Tahoe area, California-Nevada border",5.5,,,39.0,-120.0,07:10:00,1877,07,10
"Near San Bernardino, California",5.9,,,34.0,-117.0,23:35:00,1880,12,19
"Northwest of Parkfield, California",6.0,,,36.05,-120.55,00:11:00,1881,02,02
"Southwest of Modesto, California",6.3,,,37.3,-121.3,10:00:00,1881,04,10
"Southeast of Hollister, California",5.9,,,36.5,-121.1,21:45:00,1882,03,06
"Santa Cruz Mountains, California",5.8,,,37.1,-121.9,13:22:00,1882,06,27
"Near Hollister, California",6.0,,,36.8,-121.5,15:45:00,1883,03,30
"Northeast of Santa Barbara, California",5.8,,,34.9,-119.3,12:30:00,1883,09,05
"West of Santa Cruz, California",5.9,,,37.0,-122.25,00:40:00,1884,03,26
"Southeast of Hollister, California",5.7,,,36.7,-121.2,07:56:00,1885,03,31
"North of San Benito, California",5.9,,,36.6,-121.1,15:25:00,1885,04,02
"West of Coalinga, California",6.5,,,36.2,-120.8,04:05:00,1885,04,12
"Near Carson City, Nevada",6.5,,,39.2,-119.8,10:48:00,1887,06,03
California-Nevada border region,4.5,,,39.0,-120.0,06:35:00,1888,01,30
"North of Petaluma, California",4.2,,,38.3,-122.7,22:50:00,1888,02,29
"Santa Cruz Mountains, California",4.5,,,37.1,-121.8,11:51:00,1888,09,17
"San Francisco Bay area, California",4.3,,,37.9,-122.3,22:28:00,1888,11,18
"San Bernardino Mountains northeast of Beaumont, California",5.6,,,34.1,-116.7,05:20:00,1889,02,07
"East of Gilroy, California",5.5,,,36.95,-121.4,03:28:00,1889,04,15
"North of Antioch, California",6.0,,,38.1,-121.8,11:10:00,1889,05,19
"San Francisco Bay area, California",5.6,,,37.8,-122.2,12:47:00,1889,07,31
"Northwest of Pomona, California",5.6,,,34.2,-117.9,02:15:00,1889,08,28
"Southwest of Bishop, California",6.0,,,37.2,-118.7,05:20:00,1889,09,30
"Northeastern San Diego County, California",6.75,,,33.4,-116.3,12:06:00,1890,02,09
"East of Watsonville, California",6.3,,,36.9,-121.6,11:36:00,1890,04,24
"Near San Jose, California",5.8,,,37.3,-121.8,20:00:00,1891,01,02
"Near Saint George, Utah",4.8,,,37.106,-113.573,13:55:00,1891,04,20
"Near Napa, California",5.8,,,38.3,-122.4,06:28:00,1891,10,12
"The 1892 Laguna Salada Earthquake, Baja California, Mexico",7.3,,,32.55,-115.65,07:20:00,1892,02,24
"Near Vacaville, California",6.6,,,38.4,-122.0,10:50:00,1892,04,19
"Near Winters, California",6.4,,,38.5,-121.9,17:43:00,1892,04,21
"Near Dixon, California",5.6,,,38.4,-121.8,00:09:00,1892,04,30
"Near Borrego Springs, California",6.5,,,33.2,-116.2,11:15:00,1892,05,28
"Northeast of Rancho Cucamonga, California",5.5,,,34.2,-117.5,13:25:00,1892,06,14
"South of Hollister, California",5.9,,,36.75,-121.4,12:45:00,1892,11,13
"Near Newhall, California",5.8,,,34.3,-118.6,19:40:00,1893,04,04
"Santa Barbara Channel, California",5.8,,,34.1,-119.4,00:35:00,1893,05,19
"San Pablo Bay, California",4.6,,,38.0,-122.4,13:30:00,1893,06,30
"Near Santa Rosa, California",5.6,,,38.4,-122.7,09:15:00,1893,08,09
"Northwest of San Bernardino, California",6.2,,,34.3,-117.6,05:12:00,1894,07,30
"East of San Diego, California",6.1,,,32.8,-116.8,23:03:00,1894,10,23
"Near Carson City, Nevada",4.9,,,39.1,-119.8,21:01:00,1896,01,27
"Near Independence, California",6.3,,,36.7,-118.3,11:30:00,1896,08,17
"Near Virginia City, Nevada",4.3,,,39.3,-119.7,19:04:00,1897,05,15
"Near Gilroy, California",6.3,,,37.0,-121.5,20:14:00,1897,06,20
"South of Sonoma, California",6.4,,,38.2,-122.5,07:43:00,1898,03,31
"Near San Juan Bautista, California",6.0,,,36.85,-121.6,22:41:00,1899,04,30
"Near San Francisco, California",5.6,,,37.7,-122.5,07:19:00,1899,06,02
"Near Hollister, California",5.8,,,36.9,-121.4,20:10:00,1899,07,06
"Cajon Pass area, northwest of San Bernardino, California",6.36,,,34.3,-117.5,20:32:00,1899,07,22
"Near San Bernardino, California",5.9,,,34.2,-117.4,00:46:00,1899,07,22
"Near San Jacinto, California",6.7,,,33.8,-117.0,12:25:00,1899,12,25
"4 km ENE of Aromas, California",4.5,,,36.9,-121.6,22:41:14,1900,04,30
"12 km NNW of Parkfield, California",6.4,,,36.0,-120.5,07:45:00,1901,03,03
"5 km S of Elmira, California",5.4,,,38.3,-121.9,18:31:00,1902,05,19
"1 km WSW of Winchester, California",4.5,,,33.7,-117.1,02:45:00,1902,06,11
"7 km SSE of Orcutt, California",5.4,,,34.8,-120.4,06:57:00,1902,07,28
"5 km SSW of Los Alamos, California",5.4,,,34.7,-120.3,09:20:00,1902,07,31
"3 km S of Milpitas, California",5.8,,,37.4,-121.9,13:12:00,1903,06,11
"3 km ENE of Seven Trees, California",5.8,,,37.3,-121.8,06:49:00,1903,08,03
"3 km SW of Winters, California",4.5,,,38.5,-122.0,10:26:00,1904,07,30
"21 km WSW of Bodfish, California",5.0,,,35.5,-118.7,14:30:00,1905,01,06
"5 km NE of Poway, California",4.5,,,33.0,-117.0,20:25:00,1906,03,03
The 1906 San Francisco Earthquake,7.9,8.997,,37.75,-122.55,13:12:26,1906,04,18
"8 km NE of Imperial, California",6.28,,,32.9,-115.5,00:30:00,1906,04,19
"1 km SE of Running Springs, California",5.3,,,34.2,-117.1,01:54:00,1907,09,20
"3 km ENE of Del Rey Oaks, California",4.5,,,36.6,-121.8,11:33:00,1908,04,25
"44 km NE of Searles Valley, California",6.5,,,36.0,-117.0,08:37:00,1908,11,04
"7 km S of Rio Vista, California",4.5,,,38.1,-121.7,15:55:00,1909,02,14
"12 km SW of Tres Pinos, California",4.5,,,36.7,-121.4,15:21:00,1909,11,22
"4 km WSW of Watsonville, California",5.8,,,36.9,-121.8,06:52:00,1910,03,11
"7 km WNW of Lake Elsinore, California",5.0,,,33.7,-117.4,07:57:00,1910,04,11
"4 km SSW of Bishop, California",5.6,,,37.33,-118.42,16:40:00,1910,05,06
"7 km WNW of Lake Elsinore, California",5.0,,,33.7,-117.4,06:20:00,1910,05,13
"7 km WNW of Lake Elsinore, California",5.3,,,33.7,-117.4,15:47:00,1910,05,15
"2 km SSW of Hollister, California",5.0,,,36.83,-121.42,12:11:00,1910,12,31
"2 km SSW of Hollister, California",4.5,,,36.83,-121.42,21:29:00,1911,03,11
"8 km ESE of Seven Trees, California",6.6,,,37.25,-121.75,22:00:03,1911,07,01
"6 km NNE of Idyllwild-Pine Cove, California",4.5,,,33.8,-116.7,23:40:00,1911,08,11
"4 km SSW of Bishop, California",5.5,,,37.33,-118.42,03:52:00,1912,01,05
"23 km SW of Tahoma, California",4.5,,,38.92,-120.33,04:53:00,1912,08,31
"6 km SSW of Los Altos Hills, California",4.5,,,37.33,-122.17,17:27:00,1912,09,12
"3 km SSE of Reno, Nevada",6.0,,,39.5,-119.8,18:17:00,1914,02,18
"3 km SSE of Reno, Nevada",6.4,,,39.5,-119.8,08:35:00,1914,04,24
"2 km WNW of Lexington Hills, California",4.7,,,37.17,-122.0,02:31:00,1914,11,09
"6 km NW of Boulder Creek, California",4.5,,,37.17,-122.17,10:42:00,1914,12,28
"1 km SSW of Buellton, California",5.2,,,34.6,-120.2,04:31:00,1915,01,12
California-Nevada border region,5.0,,,38.58,-119.5,23:11:00,1915,04,05
"5 km S of Springville, California",5.0,,,36.08,-118.83,06:46:00,1915,05,29
"5 km E of El Centro, California",5.5,6.9,,32.8,-115.5,04:56:00,1915,06,23
"5 km E of El Centro, California",5.5,,,32.8,-115.5,03:59:00,1915,06,23
"1 km WNW of Piedmont, California",4.5,,,37.83,-122.25,05:25:42,1915,10,08
"3 km SSW of Ejido Doctor Alberto Oviedo Mota (El Indiviso), Mexico",6.95,,,32.0,-115.0,00:13:42,1915,11,21
"19 km SSE of Barstow Heights, California",4.5,,,34.7,-117.0,11:50:00,1916,07,16
"14 km SSE of Tres Pinos, California",5.3,,,36.67,-121.25,19:38:00,1916,08,06
"2 km ESE of Pasatiempo, California",5.0,,,37.0,-122.0,16:52:41,1916,08,08
Southern California,5.0,,,33.5,-116.5,02:11:00,1916,09,30
"13 km S of Lake of the Woods, California",5.5,,,34.7,-119.0,02:54:00,1916,10,23
"7 km NNW of Lebec, California",5.96,,,34.9,-118.9,02:44:00,1916,10,23
"26 km NNE of Baker, California",6.1,,,35.5,-116.0,09:11:00,1916,11,10
"11 km S of Carpinteria, California",4.5,,,34.3,-119.5,03:59:00,1917,04,13
"7 km E of Holtville, California",5.5,,,32.8,-115.3,06:06:00,1917,05,28
"5 km SSW of Nipomo, California",4.8,,,35.0,-120.5,08:33:00,1917,07,26
"2 km NE of East Foothills, California",4.8,,,37.4,-121.8,09:18:51,1917,10,26
"2 km W of Hemet, California",6.75,7.522,,33.75,-117.0,22:32:25,1918,04,21
"2 km N of Calexico, California",5.0,,,32.7,-115.5,04:32:00,1918,05,01
"4 km WNW of San Jacinto, California",5.0,,,33.8,-117.0,22:32:00,1918,06,06
"7 km SSW of Mettler, California",5.0,,,35.0,-119.0,15:57:00,1919,02,16
"1 km NW of Fetters Hot Springs-Agua Caliente, California",4.6,,,38.33,-122.5,22:38:00,1919,02,25
"5 km NNE of Day Valley, California",4.5,,,37.08,-121.83,11:03:00,1919,11,25
"23 km S of Walker, California",5.2,,,38.3,-119.5,13:58:13,1919,12,19
"16 km NW of Julian, California",5.0,,,33.2,-116.7,02:35:00,1920,01,01
"2 km SSW of Santa Monica, California",4.9,,,34.0,-118.5,02:47:00,1920,06,22
"5 km SSW of Spreckels, California",5.2,,,36.58,-121.67,19:03:58,1920,10,05
"10 km NE of Toro Canyon, California",4.5,,,34.5,-119.5,11:58:00,1920,12,05
"15 km NE of Shandon, California",6.5,7.63,,35.75,-120.25,11:21:20,1922,03,10
"11 km NNE of Shandon, California",5.0,,,35.75,-120.33,23:11:00,1922,03,16
"11 km NNE of Shandon, California",5.0,,,35.75,-120.33,05:12:00,1922,08,18
"5 km S of Loma Linda, California",5.96,,,34.0,-117.25,07:30:26,1923,07,23
"11 km SE of Progreso, Mexico",5.0,,,32.5,-115.5,22:07:00,1923,11,05
"11 km SE of Progreso, Mexico",5.7,,,32.5,-115.5,23:57:00,1923,11,07
"5 km SSW of Spreckels, California",4.6,,,36.58,-121.67,11:33:29,1924,03,09
"14 km ESE of East Foothills, California",4.5,,,37.33,-121.67,23:54:00,1924,04,03
"1 km WSW of Salinas, California",4.0,,,36.67,-121.67,04:21:00,1924,12,28
"14km SSE of Isla Vista, CA",6.82,6.692,6.4,34.3,-119.8,14:42:16,1925,06,29
"13 km E of Temecula, California",4.5,,,33.5,-117.0,10:13:00,1925,08,08
"25 km NE of Benton, California",4.8,,,38.0,-118.3,11:13:57,1925,08,21
"30 km SW of Channel Islands Beach, California",5.5,,,34.0,-119.5,18:20:45,1926,02,18
"15 km SSE of Twentynine Palms, California",5.5,,,34.0,-116.0,20:09:00,1926,04,03
"10 km NE of Toro Canyon, California",5.5,,,34.5,-119.5,23:21:00,1926,06,29
"25 km SSW of Posey, California",5.0,,,35.6,-118.8,13:31:00,1926,06,30
"36 km W of Three Rocks, California",5.0,,,36.5,-120.8,17:57:54,1926,07,25
"25 km NW of Del Monte Forest, California",6.3,6.073,,36.725,-122.18,13:35:27,1926,10,22
"36 km W of Del Monte Forest, California",6.1,,,36.617,-122.35,12:35:00,1926,10,22
"1 km WNW of Davenport, California",5.5,,,37.017,-122.208,22:51:49,1926,10,24
"4 km NE of Coalinga, California",5.0,,,36.17,-120.32,09:19:00,1926,12,27
"11 km SE of Progreso, Mexico",5.5,,,32.5,-115.5,09:13:30,1927,01,01
"11 km SE of Progreso, Mexico",5.7,,,32.5,-115.5,08:16:45,1927,01,01
"9 km SW of Davenport, California",5.0,,,36.95,-122.267,23:54:03,1927,02,15
Northern California,4.9,,,37.33,-122.92,17:36:17,1927,05,28
"2 km SSW of Santa Monica, California",5.3,,,34.0,-118.5,12:24:00,1927,08,04
"6 km SSW of Aspen Springs, California",5.5,,,37.5,-118.75,02:07:07,1927,09,18
"22 km W of Casmalia, California",6.9,7.294,,34.813,-120.774,13:51:03,1927,11,04
"5 km SSW of Nipomo, California",5.0,,,35.0,-120.5,03:32:30,1927,11,19
"1 km WSW of Gilroy, California",4.6,,,37.0,-121.58,02:45:00,1928,01,09
"35 km NW of Tonopah, Nevada",4.7,,,38.3,-117.5,16:26:07,1928,03,26
"3 km SSW of Reno, Nevada",4.5,,,39.5,-119.83,10:39:15,1928,04,17
"9 km SW of Channel Islands Beach, California",5.2,,,34.1,-119.3,21:40:00,1928,04,18
"1 km NNW of Buena Vista, California",4.8,,,37.33,-121.92,06:35:00,1928,08,09
"15 km SSE of Twentynine Palms, California",5.0,,,34.0,-116.0,14:42:00,1928,09,05
"11 km N of Seeley, California",5.0,,,32.9,-115.7,19:01:00,1928,10,02
"7 km SSW of Mettler, California",4.5,,,35.0,-119.0,02:28:00,1929,03,13
"2 km WSW of La Mirada, California",4.7,,,33.91,-118.04,16:46:07,1929,07,08
"46 km E of Barstow, California",5.1,,,34.83,-116.52,20:00:22,1929,09,26
"26 km NE of San Ardo, California",4.6,,,36.17,-120.67,22:03:10,1929,10,15
"10 km N of Independence, California",5.5,,,36.9,-118.2,19:49:00,1929,11,28
"6 km SE of San Juan Bautista, California",4.5,,,36.8,-121.5,08:16:00,1930,01,09
"6 km SE of San Juan Bautista, California",4.5,,,36.8,-121.5,08:06:13,1930,01,09
"4 km SSE of Big Bear Lake, California",5.1,,,34.2,-116.9,00:34:00,1930,01,16
"4 km SSE of Big Bear Lake, California",5.25,,,34.2,-116.9,00:24:34,1930,01,16
"3 km NE of Brawley, California",5.0,,,33.0,-115.5,02:30:00,1930,02,26
"3 km NE of Brawley, California",4.5,,,33.0,-115.5,23:44:00,1930,03,01
"3 km NE of Brawley, California",4.5,,,33.0,-115.5,01:50:00,1930,03,02
"2 km W of Incline Village, Nevada",4.3,,,39.25,-120.0,21:56:47,1930,04,09
"18 km SSE of Silver Springs, Nevada",4.5,,,39.25,-119.17,12:56:40,1930,04,12
"23 km SW of Inyokern, California",4.7,,,35.5,-118.0,12:08:55,1930,07,07
"10 km NE of Toro Canyon, California",5.0,,,34.5,-119.5,11:25:00,1930,08,05
"1 km SW of Las Flores, California",5.25,,,34.03,-118.643,00:40:38,1930,08,31
"198 km WSW of Pescadero, California",5.0,,,36.5,-124.4,23:28:40,1931,01,06
"9 km SW of Parkfield, California",4.7,,,35.83,-120.5,10:01:00,1931,02,23
"3 km SSW of San Luis Obispo, California",4.8,,,35.25,-120.67,12:08:00,1931,07,21
"8 km E of Carmel Valley Village, California",5.1,,,36.5,-121.67,00:53:00,1931,12,04
"55km SW of Alberto Oviedo Mota, B.C., MX",4.0,,,31.943,-115.6528333,02:34:51,1932,01,08
"64km SW of Alberto Oviedo Mota, B.C., MX",4.0,,,31.796,-115.614,17:24:32,1932,01,11
"37km S of Maneadero, B.C., MX",4.59,,,31.3858333,-116.515,17:17:47,1932,01,28
"10km NNE of Big Bear City, CA",4.27,,,34.3443333,-116.7998333,23:11:21,1932,02,11
"8 km WSW of San Ardo, California",5.0,,,36.0,-121.0,16:58:00,1932,02,26
"27km ESE of Tecopa, CA",4.46,,,35.7953333,-115.9323333,00:20:06,1932,03,23
"16 km SE of Tres Pinos, California",4.5,,,36.67,-121.22,18:48:10,1932,04,16
"24km SSW of Fort Irwin, CA",4.14,,,35.0785,-116.825,23:35:16,1932,04,27
"56km SW of Alberto Oviedo Mota, B.C., MX",4.22,,,31.8461667,-115.5501667,16:52:27,1932,04,29
"77km SSW of Tonopah, NV",4.1,,,37.4048333,-117.4666667,08:16:55,1932,05,22
"5 km WSW of Saratoga, California",4.5,,,37.25,-122.08,09:44:17,1932,06,14
"50km ESE of Maneadero, B.C., MX",4.76,,,31.5301667,-116.091,10:07:21,1932,06,27
"36km N of Kernville, CA",4.44,,,36.0738333,-118.446,06:51:56,1932,07,26
"28km NW of Ludlow, CA",4.43,,,34.8713333,-116.4003333,07:13:59,1932,07,30
"28km SW of Maneadero, B.C., MX",4.11,,,31.5173333,-116.7556667,09:57:32,1932,09,10
"62km SSW of Alberto Oviedo Mota, B.C., MX",4.12,,,31.7065,-115.412,16:21:22,1932,09,20
"43km S of Progreso, B.C., MX",4.02,,,32.1935,-115.6418333,07:47:11,1932,10,08
"8km NNW of Progreso, B.C., MX",4.12,,,32.6483333,-115.6085,23:45:26,1932,10,09
"1 km S of Calexico, California",4.5,,,32.666,-115.5,22:51:00,1932,10,09
"4km ESE of Mexicali, B.C., MX",4.47,,,32.64,-115.43,22:50:41,1932,10,09
"12km SSE of Puebla, B.C., MX",4.25,,,32.4558333,-115.3206667,01:29:25,1932,10,10
"39km SSE of Carmel Valley Village, CA",4.71,,,36.165,-121.6815,16:39:39,1932,10,19
"23km N of San Clemente Is. (NW tip), CA",4.12,,,33.2336667,-118.579,17:29:41,1932,10,21
"34km NNE of Dixon Lane-Meadow Creek, CA",4.3,,,37.6778333,-118.2901667,03:28:42,1932,10,25
"11 km SW of Round Valley, California",4.5,,,37.333,-118.666,03:28:00,1932,10,25
"5km S of Opal Cliffs, CA",4.6,,,36.917,-121.967,01:07:18,1932,10,25
"1km E of Grand Terrace, CA",4.0,,,34.0335,-117.3041667,04:45:46,1932,11,01
"5 km NW of Boulder Creek, California",4.9,,,37.16,-122.16,18:54:40,1932,11,03
"51km ESE of Maneadero, B.C., MX",4.19,,,31.596,-116.0515,07:34:10,1932,12,08
"The 1932 Cedar Mountain Earthquake, Nevada",6.8,7.571,,38.631,-117.91,06:10:10,1932,12,21
"14 km SSW of Gabbs, Nevada",4.9,,,38.75,-118.0,10:34:15,1932,12,22
"14 km SSW of Gabbs, Nevada",4.5,,,38.75,-118.0,07:49:30,1932,12,22
"14 km SSW of Gabbs, Nevada",4.5,,,38.75,-118.0,20:06:00,1932,12,23
"10 km SW of Gabbs, Nevada",5.0,,,38.8,-118.0,12:40:49,1932,12,24
"10 km SW of Gabbs, Nevada",4.5,,,38.8,-118.0,18:36:35,1932,12,25
"10 km SW of Gabbs, Nevada",5.5,,,38.8,-118.0,03:54:45,1932,12,25
"14 km SSW of Gabbs, Nevada",5.3,,,38.75,-118.0,05:03:00,1932,12,26
"10 km SW of Gabbs, Nevada",4.6,,,38.8,-118.0,03:07:55,1932,12,28
"10 km SW of Gabbs, Nevada",5.0,,,38.8,-118.0,06:45:08,1932,12,29
"10 km SW of Gabbs, Nevada",5.0,,,38.8,-118.0,06:38:03,1932,12,29
"10 km SW of Gabbs, Nevada",5.2,,,38.8,-118.0,06:20:28,1932,12,29
"10 km SW of Gabbs, Nevada",4.6,,,38.8,-118.0,16:03:10,1932,12,30
"10 km SW of Gabbs, Nevada",4.6,,,38.8,-118.0,04:17:52,1932,12,30
"29 km NE of Mina, Nevada",4.6,,,38.6,-117.9,17:30:00,1932,12,31
"10 km SW of Gabbs, Nevada",4.7,,,38.8,-118.0,17:06:44,1933,01,02
"10 km SW of Gabbs, Nevada",4.5,,,38.8,-118.0,15:44:08,1933,01,02
"62km ENE of Bishop, CA",4.59,,,37.5691667,-117.7406667,03:34:08,1933,01,02
"32km SSW of Hawthorne, NV",4.3,,,38.25,-118.75,01:01:11,1933,01,04
"16km SSW of Hawthorne, NV",4.13,,,38.39,-118.687,10:05:07,1933,01,05
"24km S of Hawthorne, NV",4.22,,,38.3048333,-118.6311667,09:12:06,1933,01,05
"31km S of Hawthorne, NV",4.27,,,38.243,-118.6333333,07:43:21,1933,01,05
"14 km SSW of Gabbs, Nevada",5.7,,,38.75,-118.0,06:50:20,1933,01,05
"16 km NNW of Gabbs, Nevada",4.5,,,39.0,-118.0,13:33:00,1933,01,06
"18 km NE of Gabbs, Nevada",5.1,,,39.0,-117.8,13:05:56,1933,01,06
"11 km ENE of Gabbs, Nevada",5.2,,,38.9,-117.8,17:29:38,1933,01,11
"10 km SW of Gabbs, Nevada",4.8,,,38.8,-118.0,01:02:08,1933,01,17
"2km SSW of Yucca Valley, CA",4.08,,,34.096,-116.438,14:44:23,1933,01,25
"71km S of Maneadero, B.C., MX",4.09,,,31.078,-116.547,16:27:54,1933,01,27
"15 km NE of Mina, Nevada",5.0,,,38.5,-118.0,13:51:11,1933,01,29
"37km N of Dixon Lane-Meadow Creek, CA",5.14,,,37.7168333,-118.4001667,03:26:12,1933,02,03
"18 km S of Gabbs, Nevada",5.5,,,38.7,-117.9,22:08:45,1933,02,13
"32km NNE of San Clemente Is. (SE tip), CA",4.85,,,33.063,-118.163,19:33:17,1933,02,24
"0km SSE of Los Alamitos, CA",4.01,,,33.799,-118.0711667,22:32:00,1933,03,11
"4km S of Westminster, CA",4.54,,,33.7285,-117.9995,16:54:29,1933,03,11
"2km SSW of Westminster, CA",4.3,,,33.7455,-118.0131667,15:10:20,1933,03,11
"1km SSE of Paramount, CA",4.33,,,33.8848333,-118.1573333,14:57:37,1933,03,11
"0 km SW of Gardena, California",4.9,,,33.883,-118.316,14:57:00,1933,03,11
"1km SSE of Westminster, CA",4.31,,,33.7518333,-118.0046667,14:47:16,1933,03,11
"3km ENE of Long Beach, CA",4.45,,,33.8201667,-118.1275,14:26:19,1933,03,11
"2 km NE of Carson, California",5.0,,,33.85,-118.266,14:25:00,1933,03,11
"3km SSE of Westminster, CA",4.21,,,33.7371667,-117.9906667,13:51:15,1933,03,11
"3km S of Fountain Valley, CA",4.22,,,33.679,-117.9496667,12:50:50,1933,03,11
"3km WSW of Westminster, CA",4.21,,,33.7436667,-118.0375,11:47:42,1933,03,11
"4km SSE of Long Beach, CA",4.01,,,33.7705,-118.1418333,11:42:27,1933,03,11
"1km WNW of Westminster, CA",4.36,,,33.7638333,-118.0198333,11:04:38,1933,03,11
"2 km WNW of Seal Beach, California",4.6,,,33.75,-118.133,11:04:00,1933,03,11
"2km ENE of Seal Beach, CA",4.08,,,33.75,-118.08333,09:11:00,1933,03,11
"3km SSE of Garden Grove, CA",4.83,,,33.7571667,-117.9435,09:10:58,1933,03,11
"1km NNW of Huntington Beach, CA",4.86,,,33.701,-118.0033333,08:55:39,1933,03,11
"5km SSE of Huntington Beach, CA",4.28,,,33.6548333,-117.9758333,08:09:07,1933,03,11
"2 km ENE of Seal Beach, California",4.5,,,33.75,-118.083,08:08:00,1933,03,11
"2km E of Rossmoor, CA",4.07,,,33.7845,-118.0655,07:50:53,1933,03,11
"7km W of Newport Beach, CA",5.29,,,33.6238333,-118.0011667,06:58:44,1933,03,11
"7km S of Seal Beach, CA",4.11,,,33.6815,-118.1185,06:18:45,1933,03,11
"3km WNW of Rossmoor, CA",4.1,,,33.7936667,-118.1143333,06:12:28,1933,03,11
